Spain, Population size (abridged)	Last modified: 08 May 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1912       57             89539.16        78877.81       168416.97
     1912       58             63171.16        58350.02       121521.18
     1912       59             85827.07        74089.46       159916.53
     1912       60             55087.89        54158.84       109246.73
     1912       61            168503.02       129082.20       297585.22
     1912       62             46068.04        46747.22        92815.26
     1912       63             64220.61        60554.58       124775.19
     1912       64             49534.11        48246.73        97780.84
     1912       65             61539.03        55035.55       116574.58
     1912       66             62794.52        55787.78       118582.30
     1912       67             53389.16        50317.75       103706.91
     1912       68             39816.55        38783.07        78599.62
     1912       69             50290.70        43132.27        93422.97
     1912       70             28319.42        27184.20        55503.62
     1912       71             81330.65        63852.59       145183.24
     1912       72             19326.31        19894.34        39220.65
     1912       73             26295.57        24370.45        50666.02
     1912       74             18167.03        17918.25        36085.28
     1912       75             21064.13        19764.96        40829.09
     1912       76             22052.61        19614.35        41666.96
     1912       77             18430.43        15658.39        34088.82
     1912       78             12219.13        11404.20        23623.33
     1912       79             14761.25        12616.67        27377.92
     1912       80             18275.10        12683.51        30958.61
     1912       81             15890.67        10842.16        26732.83
     1912       82             14054.01         9707.82        23761.83
     1912       83             11903.51         7991.97        19895.48
     1912       84              9986.74         6468.86        16455.60
     1912       85              8197.00         5122.08        13319.08
     1912       86              6678.04         3986.06        10664.10
     1912       87              5499.08         3148.83         8647.91
     1912       88              4449.69         2403.83         6853.52
     1912       89              3609.64         1798.89         5408.53
     1912       90              2741.91         1310.45         4052.36
     1912       91              2040.21         1000.26         3040.47
     1912       92              1683.40          812.30         2495.70
     1912       93              1292.09          588.66         1880.75
     1912       94              1006.92          431.91         1438.83
     1912       95               800.01          310.63         1110.64
     1912       96               579.58          217.20          796.78
     1912       97               358.08          142.09          500.17
     1912       98               216.96           83.60          300.56
     1912       99               139.15           50.10          189.25
     1912      100                99.38           31.71          131.09
     1912      101                63.86           19.93           83.79
     1912      102                52.05           16.65           68.70
     1912      103                22.68            4.46           27.14
     1912      104                17.15            4.61           21.76
     1912      105                10.06            2.74           12.80
     1912      106                 5.54            0.81            6.35
     1912      107                 3.25            0.00            3.25
     1912      108                 1.52            0.00            1.52
     1912      109                 0.27            0.00            0.27
     1912      110+                0.00            0.00            0.00
     1913        0            278562.99       302049.78       580612.77
     1913        1            249547.00       265204.01       514751.01
     1913        2            196919.74       198443.73       395363.47
     1913        3            208875.56       212748.69       421624.25
     1913        4            238710.85       243934.83       482645.68
     1913        5            233261.91       237171.18       470433.09
     1913        6            233157.57       234343.36       467500.93
     1913        7            227483.39       231340.04       458823.43
     1913        8            233165.33       231521.79       464687.12
     1913        9            231165.83       231709.78       462875.61
     1913       10            235905.80       235198.42       471104.22
     1913       11            208285.94       207869.70       416155.64
     1913       12            234883.95       227111.24       461995.19
     1913       13            187808.63       189010.85       376819.48
     1913       14            215681.33       213311.75       428993.08
     1913       15            193452.53       192176.49       385629.02
     1913       16            200051.21       196418.62       396469.83
     1913       17            187069.22       178999.15       366068.37
     1913       18            184524.96       170169.87       354694.83
     1913       19            174250.00       168376.82       342626.82
     1913       20            199302.34       178496.32       377798.66
     1913       21            157737.08       142694.92       300432.00
     1913       22            207004.34       163627.13       370631.47
     1913       23            140551.50       134547.11       275098.61
     1913       24            174298.81       164457.15       338755.96
     1913       25            154451.67       155551.24       310002.91
     1913       26            166959.66       146066.79       313026.45
     1913       27            165714.82       147366.46       313081.28
     1913       28            157480.19       142186.60       299666.79
     1913       29            134294.71       128903.44       263198.15
     1913       30            162373.59       144512.50       306886.09
     1913       31            119359.21       113686.70       233045.91
     1913       32            222077.35       187008.40       409085.75
     1913       33             97588.44        95932.76       193521.20
     1913       34            140209.94       129972.75       270182.69
     1913       35            119389.22       116026.34       235415.56
     1913       36            133466.46       119547.22       253013.68
     1913       37            135657.04       125221.47       260878.51
     1913       38            137397.73       120553.72       257951.45
     1913       39            106955.19       100235.43       207190.62
     1913       40            133865.38       121440.12       255305.50
     1913       41             94275.89        92367.94       186643.83
     1913       42            211409.52       186998.88       398408.40
     1913       43             75352.70        75109.27       150461.97
     1913       44            112092.98       106892.63       218985.61
     1913       45             87127.38        84154.45       171281.83
     1913       46            109207.66       101176.40       210384.06
     1913       47            118485.48       116985.17       235470.65
     1913       48            107496.52        97740.26       205236.78
     1913       49             82861.76        79451.70       162313.46
     1913       50            112647.65       102306.76       214954.41
     1913       51             77399.77        77972.69       155372.46
     1913       52            195326.20       164922.59       360248.79
     1913       53             62348.34        64219.32       126567.66
     1913       54             88955.54        84071.81       173027.35
     1913       55             66495.03        65192.65       131687.68
     1913       56             87535.04        75177.16       162712.20
     1913       57             86674.79        81373.14       168047.93
     1913       58             87416.96        76976.92       164393.88
     1913       59             62370.68        57366.24       119736.92
     1913       60             81986.63        71025.33       153011.96
     1913       61             52775.26        51808.15       104583.41
     1913       62            161350.15       123502.06       284852.21
     1913       63             44807.30        44987.75        89795.05
     1913       64             61611.65        57615.80       119227.45
     1913       65             47034.03        45545.97        92580.00
     1913       66             57945.91        51628.86       109574.77
     1913       67             59905.84        52831.39       112737.23
     1913       68             50611.53        47412.15        98023.68
     1913       69             38200.73        36957.67        75158.40
